"Territorio","COD_INE","dif2191","Dist_capital","mas15percen","eros_mod_grave","Tasa_desempleo","b_ancha","subsidios_poblacion","Gastos_habit","ind_ambiental","ind_social","ind_economico","vulner"
"Abla",4001,-0.193163751987281,61.238681387,0.237574867348974,0.746640119,20.0255102,0.342277032756931,0.0213963964069952,1808.302033627,"2","2","3","2"
"Abrucena",4002,-0.173841059602649,63.182585072,0.350137893750933,0.659355446,22.4634656,0.342277032756931,0.041459713013245,1038.104084859,"3","1","4","3"
"Adra",4003,0.137955374299047,52.697103489,0.437494147274778,10.08995408,21.8701577,0.0245762070835908,0.00125485275087251,873.741200095,"3","1","1","1"
"Albanchez",4004,0.148760330578512,73.166941993,0.495776001809854,43.140415928,16.5336374,0.024360839571539,0.00378787878787879,884.457273954,"4","1","1","2"
"Alboloduy",4005,-0.254901960784314,33.260904829,0.321311801308291,22.210568778,18.4277261,0.0245762070835908,0.0209694989052288,1512.99586039,"2","1","3","1"
"Albox",4006,0.188483844241922,89.803900806,0.170276641015246,33.254252014,20.1731025,0.732342028006874,0.00314830157497929,706.078517577,"3","3","1","2"
"Alcolea",4007,-0.0871613663133098,65.7975274,0.303113677294475,7.437051859,26.1720762,0.342277032756931,0.0426972909305065,1358.689927273,"3","3","4","3"
"Alc<f3>ntar",4008,-0.127306273062731,87.705897783,0.242209707038224,17.921361783,14.1280353,1,0.0113776137822878,1236.365148515,"3","2","2","2"
"Alcudia de Monteagud",4009,-0.341085271317829,57.076205212,0.343139452419224,58.13362382,12.962963,1,0.0480949406683323,3090.271447368,"4","3","4","4"
"Alhabia",4010,0.00296296296296296,26.692270322,0.455928595248124,42.382745636,27.0564242,0.0245762070835908,0.0193827160444444,0,"4","1","3","2"
"Alhama de Almer<ed>a",4011,0.143048486472006,23.011168023,0.360601663675826,35.162950258,23.8174969,1,0.00263416376908653,1036.640173029,"3","4","1","3"
"Alic<fa>n",4012,-0.161764705882353,27.239877231,0.430003639980072,47.938638542,26.9230769,1,0.00490196078431373,1985.985631068,"4","4","2","4"
"Almer<ed>a (capital)",4013,0.171479380133796,0,0.170931734337244,22.781558516,25.2735608,0.0245762070835908,0.000470727710171205,870.455208605,"1","2","1","1"
"Alm<f3>cita",4014,0.157360406091371,46.971310595,0.426824666998005,5.277574872,17.2330097,1,0.0143824026903553,2916.211715976,"3","4","2","4"
"Alsodux",4015,0.175572519083969,28.206738372,0.442018510971693,46.747055525,18.0769231,1,0.0241730280152672,2846.05288,"4","4","3","4"
"Antas",4016,0.116244411326379,82.087724444,0.19745931992839,26.998193723,12.8842886,0.648115066570428,0.00270740188375559,1001.708491515,"3","1","1","1"
"Arboleas",4017,0.631376734258271,87.38748453,0.376195725359028,40.158082611,19.0254018,0.980440714132756,0.00291711134685165,616.838624891,"4","4","1","4"
"Armu<f1>a de Almanzora",4018,0.0159744408945687,78.846332899,0.241450647011693,51.68374817,14.0417457,0.0245762070835908,0.00292864750798722,2181.502582781,"4","1","1","2"
"Bacares",4019,-0.140562248995984,66.271494578,0.29930700538182,39.824854045,19.205298,1,0.0224230254618474,3331.571829268,"4","4","3","4"
"Balanegra",4904,0.0984574763757643,57.545195992,0.0148955743935898,26.38333684,13.763317,1,0.00354849611355188,850.70300432,"2","2","1","1"
"Bay<e1>rcal",4020,-0.0757097791798107,75.481942802,0.330518353561747,6.77214254,16.0796325,1,0.0205047318611987,1749.022870662,"3","3","3","3"
"Bayarque",4021,-0.0091324200913242,83.634002038,0.433283740812748,44.959419051,17.6119403,0.944190446081501,0.00152207,2036.875953488,"4","4","1","4"
"B<e9>dar",4022,0.323408624229979,76.742653222,0.423274772877308,52.715885824,20.1052632,0.908505368681322,0.000941136211498973,907.426292482,"4","4","1","4"
"Beires",4023,-0.0378787878787879,47.819930722,0.311611500031417,2.305350152,21.3114754,1,0.00505050507575758,3799.138,"2","4","2","4"
"Benahadux",4024,0.371630578877596,11.109691521,0.262760782700889,14.353419092,20.8142202,0.00480286671898446,0.000773309763588157,582.584379279,"2","2","1","1"
"Benitagla",4026,-0.389830508474576,60.110233709,0.523887815393849,64.317180617,9.7826087,1,0.0206839205893358,5521.322931034,"4","4","3","4"
"Benizal<f3>n",4027,-0.144486692015209,56.848312256,0.310633707117339,55.006158718,17.6855895,1,0.00538656524714829,2195.950708661,"4","3","2","3"
"Bentarique",4028,-0.225941422594142,29.332336205,0.310008321735059,23.994038748,24.5136187,1,0.0523012552301255,1948.965378151,"2","4","4","4"
"Berja",4029,-0.0475291155177841,50.16395258,0.365145350999752,7.140260527,23.4843701,0.342277032756931,0.00142954569247718,0,"3","1","1","1"
"Canj<e1>yar",4030,-0.34634974533107,41.17775841,0.464869384998944,11.29886507,29.4069862,1,0.0488115449830221,1270.510840198,"3","3","4","4"
"Cantoria",4031,0.0961375810544122,84.46215002,0.333817254134948,33.670922188,20.7085535,0.855139909710198,0.00476928860445447,2254.460814607,"4","4","1","4"
"Carboneras",4032,0.166198215813271,64.122843844,0.348338721578934,42.886793572,23.0540617,0.342277032756931,0.00020367428449224,1349.344335332,"4","3","1","3"
"Castro de Filabres",4033,-0.51304347826087,47.449846469,0.369902032546794,70.539499036,11.1888112,1,0.0130434782608696,2879.184796748,"4","2","2","3"
"Chercos",4036,-0.0208333333333333,62.510586447,0.483808973767433,62.494802495,19.3406593,1,0.00459164018096889,1520.221510791,"4","3","1","4"
"Chirivel",4037,-0.187208527648235,111.80001807,0.113689356008873,27.754376916,15.2695789,0.61563228908747,0.0216522318520986,870.291100543,"4","1","3","2"
"C<f3>bdar",4034,-0.258823529411765,67.80362388,0.572406042774679,53.917779339,17.1779141,0.0245762070835908,0.0122549019411765,0,"4","1","2","2"
"Cuevas del Almanzora",4035,0.28079053545784,89.925199285,0.255018989075546,33.516636355,19.4088184,0.589119042270022,0.00268412774464884,906.430509197,"4","3","1","3"
"Dal<ed>as",4038,0.116284739151633,41.09109321,0.401295051824195,13.64704009,15.6377517,0.400036231174958,0.000751665855680156,976.119635547,"3","1","1","1"
"Ejido (El)",4902,0.311029105410392,32.839216349,0.0800443915395268,1.577636313,16.6663977,0.342277032756931,0.00269031605213975,984.78341436,"1","2","1","1"
"Enix",4041,0.516666666666667,18.587799067,0.417121803795715,20.28325746,11.5473441,0.980440714132756,0.00231481481481481,0,"2","2","1","1"
"Felix",4043,0.137048192771084,28.001734368,0.508986906821131,25.12813409,14.4648829,0.624338257597486,0.00363955823795181,0,"3","1","1","1"
"Fines",4044,0.139814814814815,78.296065225,0.321362898628521,40.219512195,21.4234706,0.0245762070835908,0.000462962962962963,893.874564695,"4","1","1","2"
"Fi<f1>ana",4045,-0.258978249873546,67.509414324,0.245262070839984,1.037640734,25,0.0245762070835908,0.0372618445472939,1046.886308927,"2","1","3","2"
"Fond<f3>n",4046,0.0784883720930233,55.965602766,0.323558437332781,3.520256917,18.2238193,1,0.00532945736434109,1686.841779575,"2","4","2","2"
"G<e1>dor",4047,0.107047872340426,15.970663639,0.361913153550728,41.2991848,30.4392944,0.765509014965343,0.00448803191156915,912.494468792,"3","4","1","3"
"Gallardos (Los)",4048,0.316683316683317,72.261113187,0.154449684885805,41.704325371,17.1480144,0.61563228908747,0.00568875569097569,693.148256979,"3","2","2","2"
"Garrucha",4049,0.441620253164557,82.488123819,0.0644032643325336,10.745614035,26.7071411,0.944190446081501,0.000168776370632911,743.84209835,"2","4","1","3"
"G<e9>rgal",4050,0.115627822944896,38.275856865,0.246287676965867,33.059492865,22.3835754,0.855139909710198,0.0151309846431798,929.740242718,"3","3","2","3"
"Hu<e9>cija",4051,-0.126272912423625,27.71117057,0.370663492337346,25.820763087,15.2197213,0.0245762070835908,0.00984385606924644,0,"3","1","2","1"
"Hu<e9>rcal de Almer<ed>a",4052,0.539445866251252,6.232423243,0.324634663248729,21.351642434,20.4687084,0.0245762070835908,0.000231816326916657,581.719112232,"2","2","1","1"
"Hu<e9>rcalNAOvera",4053,0.247872771474878,98.188967873,0.189665157377652,31.401488306,20.9456819,0.342277032756931,0.00178113182080632,3172.696131868,"4","4","1","4"
"<cd>llar",4054,0.0114678899082569,30.828721892,0.466177169951645,30.255807116,20.8381839,0.61563228908747,0.0311544342431193,1144.95215736,"3","2","3","3"
"Instinci<f3>n",4055,-0.170995670995671,32.932517435,0.416575365078327,18.163505121,20.0483092,0.0245762070835908,0.0203823953896104,0,"3","1","3","1"
"Laroya",4056,0.456852791878173,70.097663348,0.515221826617018,61.402597402,16.9916435,1,0.0033840947715736,1725.125052083,"4","4","1","4"
"L<e1>ujar de Andarax",4057,-0.153991200502828,59.194557236,0.236034617563368,1.814320388,21.1114876,0.624338257597486,0.00277603184789441,1281.58109375,"2","2","1","1"
"L<ed>jar",4058,-0.309045226130653,70.011820409,0.483258444363393,54.119289847,22.8787879,1,0.00335008376884422,1565.499538462,"4","3","1","4"
"Lubr<ed>n",4059,-0.121558092679651,68.667728999,0.374966046897342,40.365962995,18.7802517,1,0.0080031340967092,1487.133358158,"4","3","2","3"
"Lucainena de las Torres",4060,-0.0325342465753425,52.488359094,0.185325134035183,62.171564589,22.3238792,0.61563228908747,0.00513698630136986,0,"4","1","2","2"
"L<fa>car",4061,-0.0401554404145078,85.906897648,0.257366373017166,28.050757449,22.8390724,0.342277032756931,0.0110103627072539,1048.312896461,"4","2","2","2"
"Macael",4062,-0.0669847678473114,73.480337122,0.49614903510958,39.062901155,22.3685485,0.0245762070835908,0.000504679757753716,946.098467713,"4","1","1","2"
"Mar<ed>a",4063,-0.279352226720648,133.021540446,0.0880402682766131,18.614276098,14.8080439,0.765509014965343,0.0203103913684211,833.435573506,"4","1","3","2"
"Moj<e1>car",4064,0.40870883285104,78.679211686,0.384630903626372,40.701364646,21.3826536,1,0.000114831656331818,1753.039536155,"4","4","1","4"
"Mojonera (La)",4903,0.165089148139996,24.076973334,0.0699413750930464,0.212414444,15.8223949,0.229018117240142,0.00440237728483381,707.419773861,"1","1","1","1"
"Nacimiento",4065,-0.00412371134020619,49.376850555,0.274319819919586,13.516338047,17.1247357,1,0.0183848797113402,2341.938080808,"2","4","3","3"
"N<ed>jar",4066,0.433403267849196,33.844653247,0.183521867219126,27.450000472,16.9825853,1,0.000707292262381588,1113.645326615,"2","4","1","2"
"Ohanes",4067,-0.392156862745098,46.94138475,0.302228156548646,8.22773824,28.33764,1,0.0409982175044563,1541.045327586,"2","3","4","3"
"Olula de Castro",4068,0.110526315789474,50.691868692,0.391682398161976,68.598224753,12.9449838,1,0.0261308391407736,1779.150306122,"4","3","3","4"
"Olula del R<ed>o",4069,0.0250878875039949,76.327818628,0.319541190242714,46.497120922,25.7000415,0.342277032756931,0.0015180568871844,753.588772947,"4","2","1","3"
"Oria",4070,0.00812641083521445,95.019088319,0.171479804158961,29.844589409,16.061294,1,0.02313769751693,855.220346821,"3","2","3","3"
"Padules",4071,-0.0504587155963303,46.216033392,0.392637714123457,6.007217152,20.1360544,1,0.0160550458486239,2030.399926829,"3","4","2","3"
"Partaloa",4072,0.592488262910798,86.090452182,0.251984735804905,36.520158272,16.809816,1,0.0188575899812207,787.937,"4","4","3","4"
"Paterna del R<ed>o",4073,0.0310077519379845,69.191183972,0.305780329729436,7.342743933,22.4675325,0.0245762070835908,0.0307924203100775,1941.24574124,"3","2","3","3"
"Pechina",4074,0.300506879073135,10.603568926,0.33587921981085,39.958465673,28.3479118,0.23987702944048,0.00261485236060826,647.831932128,"3","3","1","2"
"Pulp<ed>",4075,0.332044092051827,106.993721605,0.109000693248456,29.471911464,9.2401879,1,0.00169212918197641,1383.856860269,"3","3","1","2"
"Purchena",4076,0.00366748166259169,81.234482267,0.295347572656113,33.922366723,20.6030151,0.0245762070835908,0.0084555827200489,973.355550062,"4","1","2","2"
"R<e1>gol",4077,-0.229508196721311,35.163771284,0.509296562897273,10.016764458,19.205298,1,0.0475409836393443,1584.473987342,"3","3","4","4"
"Rioja",4078,0.194220430107527,13.637635927,0.48081449774926,54.098360656,32.0455329,0.817463461518411,0.00330421147177419,962.627311221,"4","4","1","4"
"Roquetas de Mar",4079,0.492570270954672,17.972720334,0.145061863063186,6.188894163,22.0605586,0.400036231174958,0.000705663880982527,916.783347004,"1","4","1","1"
"Santa Cruz de Marchena",4080,0.0197044334975369,30.297120799,0.452262272538419,46.755079007,21.5686275,1,0.0176518883251232,2056.553028846,"4","4","3","4"
"Santa Fe de Mond<fa>jar",4081,0.0607966457023061,20.92971839,0.423892724232868,36.379783627,30.5164319,1,0.00960866528301887,1056.260619469,"3","4","2","4"
"Sen<e9>s",4082,-0.0687285223367698,49.553826719,0.322839432806709,54.127001904,22.0735786,0.0245762070835908,0.0329324169415808,1635.686067797,"4","2","3","3"
"Ser<f3>n",4083,-0.20990681706719,78.236119699,0.247648747651767,31.088539022,17.0912951,1,0.00723393820009809,3034.330612445,"3","4","2","3"
"Sierro",4084,-0.189473684210526,74.482870106,0.440066475066964,56.950946468,25.3462604,1,0.0182017544210526,1250.643333333,"4","3","3","4"
"Somont<ed>n",4085,-0.15990990990991,86.08931068,0.247421969876962,31.72173913,18.061089,0.0245762070835908,0.0106981981981982,1050.308856502,"4","1","2","1"
"Sorbas",4086,-0.0930797248077701,55.353918521,0.221252051718345,64.465181435,24.1502258,0.765509014965343,0.00886955348037232,983.29090871,"4","3","2","3"
"Sufl<ed>",4087,-0.248730964467005,75.76064575,0.464136118674225,43.183082916,26.1494253,0.0245762070835908,0.00423011842639594,1864.984656863,"4","2","1","3"
"Tabernas",4088,0.223051196295343,29.518934545,0.215173095313695,47.624784162,26.0490394,1,0.0210530829225624,855.863969631,"3","4","3","4"
"Taberno",4089,0.00502008032128514,101.992940961,0.200092202620015,33.793456032,19.3107932,1,0.0114625167168675,1002.304421622,"4","3","2","3"
"Tahal",4090,-0.108882521489971,55.211518524,0.243468418411189,44.388240895,14.4171779,1,0.0136103151862464,1454.313756906,"3","2","2","2"
"Terque",4091,-0.28494623655914,27.15580261,0.276012297350414,20.323741007,24.7058824,1,0.013440860188172,1720.502732095,"2","3","2","2"
"T<ed>jola",4092,-0.070578231292517,81.767097754,0.18336010779776,27.126111896,19.2141688,0.0245762070835908,0.00793650793650794,1339.71251059,"3","1","2","1"
